gene_id,L1,L2,L3,R1,R2,R3
Solyc01g006080.2|Solyc01g006080.2,0,11,17,0,0,21
MSTRG.321|Solyc01g006090.3,327,418,280,1354,2095,1821
MSTRG.324|Solyc01g006120.3,14698,16250,11491,28726,38788,34844
MSTRG.325|Solyc01g006130.3,13843,17763,13041,859,1051,926
MSTRG.330|Solyc01g006180.3,1037,1239,1438,6534,9415,8619
MSTRG.330|Solyc01g006190.3,6894,7653,4392,8484,10170,8893
MSTRG.332|Solyc01g006220.2,1020,1004,723,1702,2168,1928
MSTRG.337|Solyc01g006270.2,0,0,0,0,0,0
MSTRG.278|Solyc01g005560.3,59064,70072,57983,95973,125127,119978
MSTRG.281|Solyc01g005570.3,1408,1492,961,2330,2825,3074
MSTRG.279|Solyc01g005590.2,3108,3735,3988,2768,3334,3651
MSTRG.280|Solyc01g005600.3,3494,4263,2848,8653,9959,9921
MSTRG.282|Solyc01g005620.3,84284,96762,71726,66706,82680,84153
MSTRG.283,863,844,772,3350,4318,3698
MSTRG.285|Solyc01g005640.3,799,887,577,2695,3728,3210
MSTRG.286|Solyc01g005670.3,438,448,349,838,1129,1061
MSTRG.287|Solyc01g005680.3,102,205,125,1052,1784,1272
MSTRG.289|Solyc01g005700.3,1424,1700,1175,2175,2709,2324
MSTRG.291|Solyc01g005710.2,721,683,488,29,13,112
MSTRG.295|Solyc01g005755.1,739,593,296,0,1026,824
MSTRG.295|Solyc01g005760.3,542,304,177,2005,1018,926
MSTRG.296|Solyc01g005770.3,16,42,44,44,81,51
MSTRG.296|Solyc01g005790.1,578,487,354,947,1514,1279
MSTRG.297|Solyc01g005775.1,59,115,74,96,118,196
MSTRG.296|Solyc01g005795.1,2,2,3,3,6,11
MSTRG.298|Solyc01g005810.3,1889,2214,1527,5735,7067,6491
MSTRG.299|Solyc01g005820.3,9272,10627,7026,28413,33498,31320
MSTRG.303|Solyc01g005840.3,1425,1764,1277,1395,1612,162
MSTRG.300|Solyc01g005850.2,48,54,52,528,787,689
Solyc01g005865.1|Solyc01g005865.1,14,13,0,0,0,0
Solyc01g005870.2|Solyc01g005870.2,270,291,252,23,25,32
MSTRG.305|Solyc01g005900.2,5,4,1,86,96,126
MSTRG.305|Solyc01g005895.1,1,0,0,0,6,5
